ranks nx ny nz num_iter time num_streams
###1, 128, 128, 32768, 64, 5.33198, 4
###1, 128, 128, 32768, 128, 10.4278, 4
###1, 128, 128, 32768, 256, 20.6369, 4
###1, 128, 128, 32768, 512, 41.0697, 4
###1, 128, 128, 32768, 1024, 80.2212, 4
###1, 128, 128, 65536, 32, 2.46163, 4
###1, 128, 128, 65536, 64, 4.50341, 4
###1, 128, 128, 65536, 128, 8.60319, 4
###1, 128, 128, 65536, 256, 17.0442, 4
###1, 128, 128, 65536, 512, 33.6076, 4
###1, 128, 128, 65536, 1024, 66.9597, 4
###1, 128, 128, 8, 32, 0.00171038, 8
###1, 128, 128, 8, 64, 0.0030192, 8
###1, 128, 128, 8, 128, 0.00563333, 8
###1, 128, 128, 8, 256, 0.0110938, 8
###1, 128, 128, 8, 512, 0.0216847, 8
###1, 128, 128, 8, 1024, 0.0428497, 8
###1, 128, 128, 16, 32, 0.00215764, 8
###1, 128, 128, 16, 64, 0.00379892, 8
###1, 128, 128, 16, 128, 0.00735474, 8
###1, 128, 128, 16, 256, 0.0139132, 8
###1, 128, 128, 16, 512, 0.0273865, 8
###1, 128, 128, 16, 1024, 0.054404, 8
###1, 128, 128, 32, 32, 0.00291106, 8
###1, 128, 128, 32, 64, 0.005341, 8
###1, 128, 128, 32, 128, 0.0102801, 8
###1, 128, 128, 32, 256, 0.0198088, 8
###1, 128, 128, 32, 512, 0.0391181, 8
###1, 128, 128, 32, 1024, 0.0770176, 8
###1, 128, 128, 64, 32, 0.00463694, 8
###1, 128, 128, 64, 64, 0.00876076, 8
###1, 128, 128, 64, 128, 0.0169099, 8
###1, 128, 128, 64, 256, 0.0325374, 8
###1, 128, 128, 64, 512, 0.0656473, 8
###1, 128, 128, 64, 1024, 0.129766, 8
###1, 128, 128, 128, 32, 0.00864431, 8
###1, 128, 128, 128, 64, 0.0163294, 8
###1, 128, 128, 128, 128, 0.0321933, 8
###1, 128, 128, 128, 256, 0.0620354, 8
###1, 128, 128, 128, 512, 0.124355, 8
###1, 128, 128, 128, 1024, 0.249688, 8
###1, 128, 128, 256, 32, 0.0171088, 8
###1, 128, 128, 256, 64, 0.0321044, 8
###1, 128, 128, 256, 128, 0.0617256, 8
###1, 128, 128, 256, 256, 0.121913, 8
###1, 128, 128, 256, 512, 0.239828, 8
###1, 128, 128, 256, 1024, 0.476297, 8
###1, 128, 128, 512, 32, 0.0332414, 8
###1, 128, 128, 512, 64, 0.0634493, 8
###1, 128, 128, 512, 128, 0.120593, 8
###1, 128, 128, 512, 256, 0.236955, 8
###1, 128, 128, 512, 512, 0.470165, 8
###1, 128, 128, 512, 1024, 0.924114, 8
###1, 128, 128, 1024, 32, 0.066215, 8
###1, 128, 128, 1024, 64, 0.124198, 8
###1, 128, 128, 1024, 128, 0.237727, 8
###1, 128, 128, 1024, 256, 0.471285, 8
###1, 128, 128, 1024, 512, 0.917824, 8
###1, 128, 128, 1024, 1024, 1.80918, 8
###1, 128, 128, 2048, 32, 0.131707, 8
###1, 128, 128, 2048, 64, 0.244994, 8
