ranks, nx, ny, nz, num_iter, time, num_streams
###1, 128, 128, 64, 64, 0.0112235, 4
###1, 128, 128, 64, 64, 0.0105824, 8
###1, 128, 128, 64, 64, 0.0114164, 16
###1, 128, 128, 64, 64, 0.0133521, 32
###1, 128, 128, 64, 64, 0.0171775, 64
###1, 128, 128, 64, 64, 0.023604, 128
###1, 128, 128, 64, 64, 0.0365574, 256
###1, 128, 128, 64, 128, 0.0286479, 1
###1, 128, 128, 64, 128, 0.0238652, 2
###1, 128, 128, 64, 128, 0.0212559, 4
###1, 128, 128, 64, 128, 0.0200719, 8
###1, 128, 128, 64, 128, 0.0218875, 16
###1, 128, 128, 64, 128, 0.0256603, 32
###1, 128, 128, 64, 128, 0.0329588, 64
###1, 128, 128, 64, 128, 0.0453648, 128
###1, 128, 128, 64, 128, 0.0696504, 256
###1, 128, 128, 64, 256, 0.0565361, 1
###1, 128, 128, 64, 256, 0.0462641, 2
###1, 128, 128, 64, 256, 0.0414052, 4
###1, 128, 128, 64, 256, 0.0391646, 8
###1, 128, 128, 64, 256, 0.0429771, 16
###1, 128, 128, 64, 256, 0.050804, 32
###1, 128, 128, 64, 256, 0.0647684, 64
###1, 128, 128, 64, 256, 0.0885894, 128
###1, 128, 128, 64, 256, 0.138516, 256
###1, 128, 128, 64, 512, 0.112513, 1
###1, 128, 128, 64, 512, 0.0928808, 2
###1, 128, 128, 64, 512, 0.071438, 4
###1, 128, 128, 64, 512, 0.0774312, 8
###1, 128, 128, 64, 512, 0.0843402, 16
###1, 128, 128, 64, 512, 0.0995018, 32
###1, 128, 128, 64, 512, 0.127831, 64
###1, 128, 128, 64, 512, 0.177078, 128
###1, 128, 128, 64, 512, 0.270769, 256
###1, 128, 128, 64, 1024, 0.216855, 1
###1, 128, 128, 64, 1024, 0.184043, 2
###1, 128, 128, 64, 1024, 0.163862, 4
###1, 128, 128, 64, 1024, 0.153755, 8
###1, 128, 128, 64, 1024, 0.16762, 16
###1, 128, 128, 64, 1024, 0.198286, 32
###1, 128, 128, 64, 1024, 0.253109, 64
###1, 128, 128, 64, 1024, 0.349918, 128
###1, 128, 128, 64, 1024, 0.539557, 256
###1, 128, 128, 128, 32, 0.0155436, 1
###1, 128, 128, 128, 32, 0.0126919, 2
###1, 128, 128, 128, 32, 0.0112531, 4
###1, 128, 128, 128, 32, 0.0104298, 8
###1, 128, 128, 128, 32, 0.0103903, 16
###1, 128, 128, 128, 32, 0.0114211, 32
###1, 128, 128, 128, 32, 0.0135032, 64
###1, 128, 128, 128, 32, 0.0174826, 128
###1, 128, 128, 128, 32, 0.0244433, 256
###1, 128, 128, 128, 64, 0.0288761, 1
###1, 128, 128, 128, 64, 0.0239972, 2
###1, 128, 128, 128, 64, 0.0210051, 4
###1, 128, 128, 128, 64, 0.019328, 8
###1, 128, 128, 128, 64, 0.0191263, 16
###1, 128, 128, 128, 64, 0.0213672, 32
###1, 128, 128, 128, 64, 0.0251399, 64
###1, 128, 128, 128, 64, 0.0331325, 128
###1, 128, 128, 128, 64, 0.0458129, 256
###1, 128, 128, 128, 128, 0.0566525, 1
###1, 128, 128, 128, 128, 0.0467042, 2
###1, 128, 128, 128, 128, 0.0405973, 4
###1, 128, 128, 128, 128, 0.0378033, 8
###1, 128, 128, 128, 128, 0.0371841, 16
###1, 128, 128, 128, 128, 0.0400528, 32
###1, 128, 128, 128, 128, 0.0490013, 64
###1, 128, 128, 128, 128, 0.0638023, 128
###1, 128, 128, 128, 128, 0.0879394, 256
###1, 128, 128, 128, 256, 0.115061, 1
###1, 128, 128, 128, 256, 0.0917492, 2
###1, 128, 128, 128, 256, 0.0802436, 4
###1, 128, 128, 128, 256, 0.0745615, 8
###1, 128, 128, 128, 256, 0.0725155, 16
###1, 128, 128, 128, 256, 0.0792104, 32
###1, 128, 128, 128, 256, 0.0961225, 64
###1, 128, 128, 128, 256, 0.124714, 128
###1, 128, 128, 128, 256, 0.173193, 256
###1, 128, 128, 128, 512, 0.222685, 1
###1, 128, 128, 128, 512, 0.181906, 2
###1, 128, 128, 128, 512, 0.158251, 4
###1, 128, 128, 128, 512, 0.147982, 8
###1, 128, 128, 128, 512, 0.14381, 16
###1, 128, 128, 128, 512, 0.157175, 32
###1, 128, 128, 128, 512, 0.186864, 64
###1, 128, 128, 128, 512, 0.246141, 128
###1, 128, 128, 128, 512, 0.341208, 256
###1, 128, 128, 128, 1024, 0.443064, 1
###1, 128, 128, 128, 1024, 0.361879, 2
###1, 128, 128, 128, 1024, 0.31727, 4
###1, 128, 128, 128, 1024, 0.290711, 8
###1, 128, 128, 128, 1024, 0.287323, 16
###1, 128, 128, 128, 1024, 0.310165, 32
###1, 128, 128, 128, 1024, 0.372371, 64
###1, 128, 128, 128, 1024, 0.485055, 128
###1, 128, 128, 128, 1024, 0.680627, 256
###1, 128, 128, 256, 32, 0.0302368, 1
###1, 128, 128, 256, 32, 0.0251474, 2
###1, 128, 128, 256, 32, 0.0218149, 4
###1, 128, 128, 256, 32, 0.0203347, 8
###1, 128, 128, 256, 32, 0.0196956, 16
###1, 128, 128, 256, 32, 0.0204862, 32
###1, 128, 128, 256, 32, 0.0221921, 64
###1, 128, 128, 256, 32, 0.0267662, 128
###1, 128, 128, 256, 32, 0.0348041, 256
###1, 128, 128, 256, 64, 0.0576142, 1
###1, 128, 128, 256, 64, 0.047296, 2
###1, 128, 128, 256, 64, 0.0408866, 4
###1, 128, 128, 256, 64, 0.0380444, 8
###1, 128, 128, 256, 64, 0.0362309, 16
###1, 128, 128, 256, 64, 0.0376061, 32
###1, 128, 128, 256, 64, 0.0413869, 64
###1, 128, 128, 256, 64, 0.0495493, 128
###1, 128, 128, 256, 64, 0.064855, 256
###1, 128, 128, 256, 128, 0.116455, 1
###1, 128, 128, 256, 128, 0.0919695, 2
###1, 128, 128, 256, 128, 0.0802374, 4
###1, 128, 128, 256, 128, 0.073636, 8
###1, 128, 128, 256, 128, 0.069879, 16
###1, 128, 128, 256, 128, 0.0719575, 32
###1, 128, 128, 256, 128, 0.0782256, 64
###1, 128, 128, 256, 128, 0.0955745, 128
###1, 128, 128, 256, 128, 0.125586, 256
###1, 128, 128, 256, 256, 0.230202, 1
###1, 128, 128, 256, 256, 0.180863, 2
###1, 128, 128, 256, 256, 0.155292, 4
###1, 128, 128, 256, 256, 0.144055, 8
###1, 128, 128, 256, 256, 0.137309, 16
###1, 128, 128, 256, 256, 0.140404, 32
###1, 128, 128, 256, 256, 0.154447, 64
###1, 128, 128, 256, 256, 0.186127, 128
###1, 128, 128, 256, 256, 0.246173, 256
###1, 128, 128, 256, 512, 0.441623, 1
###1, 128, 128, 256, 512, 0.359006, 2
###1, 128, 128, 256, 512, 0.313527, 4
###1, 128, 128, 256, 512, 0.281547, 8
###1, 128, 128, 256, 512, 0.273273, 16
###1, 128, 128, 256, 512, 0.281355, 32
###1, 128, 128, 256, 512, 0.30675, 64
###1, 128, 128, 256, 512, 0.365804, 128
###1, 128, 128, 256, 512, 0.483154, 256
###1, 128, 128, 256, 1024, 0.881425, 1
###1, 128, 128, 256, 1024, 0.717216, 2
###1, 128, 128, 256, 1024, 0.609595, 4
###1, 128, 128, 256, 1024, 0.569612, 8
###1, 128, 128, 256, 1024, 0.542869, 16
###1, 128, 128, 256, 1024, 0.548395, 32
###1, 128, 128, 256, 1024, 0.610771, 64
###1, 128, 128, 256, 1024, 0.729914, 128
###1, 128, 128, 256, 1024, 0.967061, 256
###1, 128, 128, 512, 32, 0.0592543, 1
###1, 128, 128, 512, 32, 0.0486681, 2
###1, 128, 128, 512, 32, 0.0427678, 4
###1, 128, 128, 512, 32, 0.0391091, 8
###1, 128, 128, 512, 32, 0.0375893, 16
###1, 128, 128, 512, 32, 0.0370912, 32
###1, 128, 128, 512, 32, 0.0391095, 64
###1, 128, 128, 512, 32, 0.0444899, 128
###1, 128, 128, 512, 32, 0.0525651, 256
###1, 128, 128, 512, 64, 0.113002, 1
###1, 128, 128, 512, 64, 0.0919384, 2
###1, 128, 128, 512, 64, 0.0804315, 4
###1, 128, 128, 512, 64, 0.0733659, 8
###1, 128, 128, 512, 64, 0.0698605, 16
###1, 128, 128, 512, 64, 0.0686308, 32
###1, 128, 128, 512, 64, 0.0733253, 64
###1, 128, 128, 512, 64, 0.0804548, 128
###1, 128, 128, 512, 64, 0.0976445, 256
###1, 128, 128, 512, 128, 0.229524, 1
###1, 128, 128, 512, 128, 0.178975, 2
###1, 128, 128, 512, 128, 0.153811, 4
###1, 128, 128, 512, 128, 0.14146, 8
###1, 128, 128, 512, 128, 0.135042, 16
###1, 128, 128, 512, 128, 0.132794, 32
###1, 128, 128, 512, 128, 0.141573, 64
###1, 128, 128, 512, 128, 0.154524, 128
###1, 128, 128, 512, 128, 0.186813, 256
###1, 128, 128, 512, 256, 0.453014, 1
###1, 128, 128, 512, 256, 0.353209, 2
###1, 128, 128, 512, 256, 0.302421, 4
###1, 128, 128, 512, 256, 0.277687, 8
###1, 128, 128, 512, 256, 0.263458, 16
###1, 128, 128, 512, 256, 0.26095, 32
###1, 128, 128, 512, 256, 0.277142, 64
###1, 128, 128, 512, 256, 0.303878, 128
###1, 128, 128, 512, 256, 0.365725, 256
###1, 128, 128, 512, 512, 0.867214, 1
###1, 128, 128, 512, 512, 0.703672, 2
###1, 128, 128, 512, 512, 0.599091, 4
###1, 128, 128, 512, 512, 0.54996, 8
###1, 128, 128, 512, 512, 0.521231, 16
###1, 128, 128, 512, 512, 0.513426, 32
###1, 128, 128, 512, 512, 0.539117, 64
###1, 128, 128, 512, 512, 0.605109, 128
###1, 128, 128, 512, 512, 0.716895, 256
###1, 128, 128, 512, 1024, 1.80031, 1
