    5      128      0.95      0.1265650
    6      128      0.95      0.1266920
    7      128      0.95      0.1264650
    8      128      0.95      0.1269140
    9      128      0.95      0.1267020
   10      128      0.95      0.1282800
    1      128      0.99      0.1609120
    2      128      0.99      0.1316270
    3      128      0.99      0.1320370
    4      128      0.99      0.1319400
    5      128      0.99      0.1320940
    6      128      0.99      0.1319390
    7      128      0.99      0.1392830
    8      128      0.99      0.1320940
    9      128      0.99      0.1320780
   10      128      0.99      0.1319450
    1      128      1.00      0.1631630
    2      128      1.00      0.1339110
    3      128      1.00      0.1336830
    4      128      1.00      0.1337810
    5      128      1.00      0.1342190
    6      128      1.00      0.1336890
    7      128      1.00      0.1336940
    8      128      1.00      0.1334920
    9      128      1.00      0.1335800
   10      128      1.00      0.1339700
    1      256      0.00      0.0139980
    2      256      0.00      0.0029670
    3      256      0.00      0.0028230
    4      256      0.00      0.0028210
    5      256      0.00      0.0027680
    6      256      0.00      0.0027840
    7      256      0.00      0.0027540
    8      256      0.00      0.0027680
    9      256      0.00      0.0027440
   10      256      0.00      0.0027590
    1      256      0.01      0.0070330
    2      256      0.01      0.0055190
    3      256      0.01      0.0051640
    4      256      0.01      0.0050580
    5      256      0.01      0.0050410
    6      256      0.01      0.0050860
    7      256      0.01      0.0050160
    8      256      0.01      0.0050510
    9      256      0.01      0.0050180
   10      256      0.01      0.0050290
    1      256      0.05      0.0192360
    2      256      0.05      0.0158590
    3      256      0.05      0.0154790
    4      256      0.05      0.0154840
    5      256      0.05      0.0154260
    6      256      0.05      0.0153920
    7      256      0.05      0.0153490
    8      256      0.05      0.0153880
    9      256      0.05      0.0154180
   10      256      0.05      0.0154710
    1      256      0.10      0.0355970
    2      256      0.10      0.0291970
    3      256      0.10      0.0288320
    4      256      0.10      0.0289490
    5      256      0.10      0.0289390
    6      256      0.10      0.0288390
    7      256      0.10      0.0288390
    8      256      0.10      0.0289290
    9      256      0.10      0.0289320
   10      256      0.10      0.0288720
    1      256      0.25      0.0843150
    2      256      0.25      0.0694220
    3      256      0.25      0.0690650
    4      256      0.25      0.0692330
    5      256      0.25      0.0691060
    6      256      0.25      0.0692540
    7      256      0.25      0.0689670
    8      256      0.25      0.0691880
    9      256      0.25      0.0690990
   10      256      0.25      0.0691170
    1      256      0.50      0.1685120
    2      256      0.50      0.1357730
    3      256      0.50      0.1348510
    4      256      0.50      0.1349020
    5      256      0.50      0.1349830
    6      256      0.50      0.1349770
    7      256      0.50      0.1349240
    8      256      0.50      0.1347030
    9      256      0.50      0.1349260
   10      256      0.50      0.1351060
    1      256      0.75      0.2445100
    2      256      0.75      0.2009700
    3      256      0.75      0.2163580
    4      256      0.75      0.2000830
    5      256      0.75      0.2009530
    6      256      0.75      0.2006040
    7      256      0.75      0.2009530
    8      256      0.75      0.2007960
    9      256      0.75      0.2010120
   10      256      0.75      0.2010140
    1      256      0.90      0.2918040
    2      256      0.90      0.2440170
    3      256      0.90      0.2407610
    4      256      0.90      0.2444800
    5      256      0.90      0.2510680
    6      256      0.90      0.2509060
    7      256      0.90      0.2506460
    8      256      0.90      0.2512670
    9      256      0.90      0.2508030
   10      256      0.90      0.2395880
    1      256      0.95      0.3177530
    2      256      0.95      0.2648500
    3      256      0.95      0.2628170
    4      256      0.95      0.2647710
    5      256      0.95      0.2761740
    6      256      0.95      0.2597730
    7      256      0.95      0.2651130
    8      256      0.95      0.2573690
    9      256      0.95      0.2766240
   10      256      0.95      0.2573180
    1      256      0.99      0.3395400
    2      256      0.99      0.3006400
    3      256      0.99      0.2670510
    4      256      0.99      0.2666240
    5      256      0.99      0.2559600
    6      256      0.99      0.2660590
    7      256      0.99      0.2967960
    8      256      0.99      0.2668190
    9      256      0.99      0.2666760
   10      256      0.99      0.2732190
    1      256      1.00      0.3563760
    2      256      1.00      0.2921740
    3      256      1.00      0.2701490
    4      256      1.00      0.2806970
    5      256      1.00      0.2700100
    6      256      1.00      0.3022500
