solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,iteration,kernel_walltime_seconds
manual_kernel,16,16x1,32770,8194,2050,8194,142,0.006150292
manual_kernel,16,16x1,32770,8194,2050,8194,143,0.006167603
manual_kernel,16,16x1,32770,8194,2050,8194,144,0.006151124
manual_kernel,16,16x1,32770,8194,2050,8194,145,0.006149523
manual_kernel,16,16x1,32770,8194,2050,8194,146,0.006121748
manual_kernel,16,16x1,32770,8194,2050,8194,147,0.006102420
manual_kernel,16,16x1,32770,8194,2050,8194,148,0.006075605
manual_kernel,16,16x1,32770,8194,2050,8194,149,0.006093844
manual_kernel,16,16x1,32770,8194,2050,8194,150,0.006515821
manual_kernel,16,16x1,32770,8194,2050,8194,151,0.006171830
manual_kernel,16,16x1,32770,8194,2050,8194,152,0.006172662
manual_kernel,16,16x1,32770,8194,2050,8194,153,0.006152664
manual_kernel,16,16x1,32770,8194,2050,8194,154,0.006143352
manual_kernel,16,16x1,32770,8194,2050,8194,155,0.006141718
manual_kernel,16,16x1,32770,8194,2050,8194,156,0.006144087
manual_kernel,16,16x1,32770,8194,2050,8194,157,0.006161047
manual_kernel,16,16x1,32770,8194,2050,8194,158,0.006158231
manual_kernel,16,16x1,32770,8194,2050,8194,159,0.006116121
manual_kernel,16,16x1,32770,8194,2050,8194,160,0.006489772
manual_kernel,16,16x1,32770,8194,2050,8194,161,0.006103287
manual_kernel,16,16x1,32770,8194,2050,8194,162,0.006084953
manual_kernel,16,16x1,32770,8194,2050,8194,163,0.006063642
manual_kernel,16,16x1,32770,8194,2050,8194,164,0.006084826
manual_kernel,16,16x1,32770,8194,2050,8194,165,0.006070873
manual_kernel,16,16x1,32770,8194,2050,8194,166,0.006066234
manual_kernel,16,16x1,32770,8194,2050,8194,167,0.006060987
manual_kernel,16,16x1,32770,8194,2050,8194,168,0.006048890
manual_kernel,16,16x1,32770,8194,2050,8194,169,0.006050843
manual_kernel,16,16x1,32770,8194,2050,8194,170,0.006445034
manual_kernel,16,16x1,32770,8194,2050,8194,171,0.006094312
manual_kernel,16,16x1,32770,8194,2050,8194,172,0.006103911
manual_kernel,16,16x1,32770,8194,2050,8194,173,0.006100007
manual_kernel,16,16x1,32770,8194,2050,8194,174,0.006064347
manual_kernel,16,16x1,32770,8194,2050,8194,175,0.006097242
manual_kernel,16,16x1,32770,8194,2050,8194,176,0.006100985
manual_kernel,16,16x1,32770,8194,2050,8194,177,0.006076602
manual_kernel,16,16x1,32770,8194,2050,8194,178,0.006083989
manual_kernel,16,16x1,32770,8194,2050,8194,179,0.006097973
manual_kernel,16,16x1,32770,8194,2050,8194,180,0.006501114
manual_kernel,16,16x1,32770,8194,2050,8194,181,0.006118406
manual_kernel,16,16x1,32770,8194,2050,8194,182,0.006101064
manual_kernel,16,16x1,32770,8194,2050,8194,183,0.006088648
manual_kernel,16,16x1,32770,8194,2050,8194,184,0.006078184
manual_kernel,16,16x1,32770,8194,2050,8194,185,0.006086696
manual_kernel,16,16x1,32770,8194,2050,8194,186,0.006066440
manual_kernel,16,16x1,32770,8194,2050,8194,187,0.006104648
manual_kernel,16,16x1,32770,8194,2050,8194,188,0.006101319
manual_kernel,16,16x1,32770,8194,2050,8194,189,0.006091433
manual_kernel,16,16x1,32770,8194,2050,8194,190,0.006471324
manual_kernel,16,16x1,32770,8194,2050,8194,191,0.006052939
manual_kernel,16,16x1,32770,8194,2050,8194,192,0.006027338
manual_kernel,16,16x1,32770,8194,2050,8194,193,0.006005132
manual_kernel,16,16x1,32770,8194,2050,8194,194,0.006025099
manual_kernel,16,16x1,32770,8194,2050,8194,195,0.006059401
manual_kernel,16,16x1,32770,8194,2050,8194,196,0.006078585
manual_kernel,16,16x1,32770,8194,2050,8194,197,0.006090905
manual_kernel,16,16x1,32770,8194,2050,8194,198,0.006124632
manual_kernel,16,16x1,32770,8194,2050,8194,199,0.006133497
manual_kernel,16,16x1,32770,8194,2050,8194,200,0.006535531
manual_kernel,16,8x2,32770,8194,4098,4098,1,0.007068981
manual_kernel,16,8x2,32770,8194,4098,4098,2,0.005953784
manual_kernel,16,8x2,32770,8194,4098,4098,3,0.005934329
manual_kernel,16,8x2,32770,8194,4098,4098,4,0.005936292
manual_kernel,16,8x2,32770,8194,4098,4098,5,0.005923257
manual_kernel,16,8x2,32770,8194,4098,4098,6,0.005926330
manual_kernel,16,8x2,32770,8194,4098,4098,7,0.005908699
manual_kernel,16,8x2,32770,8194,4098,4098,8,0.005915644
manual_kernel,16,8x2,32770,8194,4098,4098,9,0.005909499
manual_kernel,16,8x2,32770,8194,4098,4098,10,0.006370096
manual_kernel,16,8x2,32770,8194,4098,4098,11,0.005972094
manual_kernel,16,8x2,32770,8194,4098,4098,12,0.005985182
manual_kernel,16,8x2,32770,8194,4098,4098,13,0.005984701
manual_kernel,16,8x2,32770,8194,4098,4098,14,0.005944707
manual_kernel,16,8x2,32770,8194,4098,4098,15,0.005912026
manual_kernel,16,8x2,32770,8194,4098,4098,16,0.005906533
manual_kernel,16,8x2,32770,8194,4098,4098,17,0.005904122
manual_kernel,16,8x2,32770,8194,4098,4098,18,0.005920443
manual_kernel,16,8x2,32770,8194,4098,4098,19,0.005910331
manual_kernel,16,8x2,32770,8194,4098,4098,20,0.006327022
manual_kernel,16,8x2,32770,8194,4098,4098,21,0.005924986
manual_kernel,16,8x2,32770,8194,4098,4098,22,0.005972221
manual_kernel,16,8x2,32770,8194,4098,4098,23,0.005960189
manual_kernel,16,8x2,32770,8194,4098,4098,24,0.005982300
manual_kernel,16,8x2,32770,8194,4098,4098,25,0.005974013
manual_kernel,16,8x2,32770,8194,4098,4098,26,0.005959773
manual_kernel,16,8x2,32770,8194,4098,4098,27,0.005963678
manual_kernel,16,8x2,32770,8194,4098,4098,28,0.005969789
manual_kernel,16,8x2,32770,8194,4098,4098,29,0.005980861
manual_kernel,16,8x2,32770,8194,4098,4098,30,0.006365488
manual_kernel,16,8x2,32770,8194,4098,4098,31,0.005982140
manual_kernel,16,8x2,32770,8194,4098,4098,32,0.005966493
manual_kernel,16,8x2,32770,8194,4098,4098,33,0.005978974
manual_kernel,16,8x2,32770,8194,4098,4098,34,0.005967198
manual_kernel,16,8x2,32770,8194,4098,4098,35,0.005945918
manual_kernel,16,8x2,32770,8194,4098,4098,36,0.005940031
manual_kernel,16,8x2,32770,8194,4098,4098,37,0.006024668
manual_kernel,16,8x2,32770,8194,4098,4098,38,0.005938011
manual_kernel,16,8x2,32770,8194,4098,4098,39,0.005919749
manual_kernel,16,8x2,32770,8194,4098,4098,40,0.006339808
manual_kernel,16,8x2,32770,8194,4098,4098,41,0.005900315
manual_kernel,16,8x2,32770,8194,4098,4098,42,0.005910085
manual_kernel,16,8x2,32770,8194,4098,4098,43,0.005896575
manual_kernel,16,8x2,32770,8194,4098,4098,44,0.005911781
manual_kernel,16,8x2,32770,8194,4098,4098,45,0.005898278
manual_kernel,16,8x2,32770,8194,4098,4098,46,0.005895776
manual_kernel,16,8x2,32770,8194,4098,4098,47,0.005991964
manual_kernel,16,8x2,32770,8194,4098,4098,48,0.005994108
manual_kernel,16,8x2,32770,8194,4098,4098,49,0.005981788
manual_kernel,16,8x2,32770,8194,4098,4098,50,0.006294675
manual_kernel,16,8x2,32770,8194,4098,4098,51,0.005917183
manual_kernel,16,8x2,32770,8194,4098,4098,52,0.005908542
manual_kernel,16,8x2,32770,8194,4098,4098,53,0.005943007
manual_kernel,16,8x2,32770,8194,4098,4098,54,0.005951166
manual_kernel,16,8x2,32770,8194,4098,4098,55,0.005935903
manual_kernel,16,8x2,32770,8194,4098,4098,56,0.005923679
manual_kernel,16,8x2,32770,8194,4098,4098,57,0.005942621
manual_kernel,16,8x2,32770,8194,4098,4098,58,0.005948062
manual_kernel,16,8x2,32770,8194,4098,4098,59,0.005959357
manual_kernel,16,8x2,32770,8194,4098,4098,60,0.006349136
manual_kernel,16,8x2,32770,8194,4098,4098,61,0.005997213
manual_kernel,16,8x2,32770,8194,4098,4098,62,0.005958813
manual_kernel,16,8x2,32770,8194,4098,4098,63,0.005954461
manual_kernel,16,8x2,32770,8194,4098,4098,64,0.005962718
manual_kernel,16,8x2,32770,8194,4098,4098,65,0.005973117
manual_kernel,16,8x2,32770,8194,4098,4098,66,0.005947358
manual_kernel,16,8x2,32770,8194,4098,4098,67,0.005960062
manual_kernel,16,8x2,32770,8194,4098,4098,68,0.005972125
manual_kernel,16,8x2,32770,8194,4098,4098,69,0.005967805
manual_kernel,16,8x2,32770,8194,4098,4098,70,0.006358124
manual_kernel,16,8x2,32770,8194,4098,4098,71,0.005988471
manual_kernel,16,8x2,32770,8194,4098,4098,72,0.005985274
manual_kernel,16,8x2,32770,8194,4098,4098,73,0.006005591
manual_kernel,16,8x2,32770,8194,4098,4098,74,0.006010808
manual_kernel,16,8x2,32770,8194,4098,4098,75,0.006012247
manual_kernel,16,8x2,32770,8194,4098,4098,76,0.006013368
manual_kernel,16,8x2,32770,8194,4098,4098,77,0.006014712
manual_kernel,16,8x2,32770,8194,4098,4098,78,0.006010584
manual_kernel,16,8x2,32770,8194,4098,4098,79,0.005996728
manual_kernel,16,8x2,32770,8194,4098,4098,80,0.006433294
manual_kernel,16,8x2,32770,8194,4098,4098,81,0.006018326
manual_kernel,16,8x2,32770,8194,4098,4098,82,0.005996509
